channelId,videoCount
UCHTK-2W11Vh1V4uwofOfR4w,363859
UCycNGmxYc8z3FNfvQ3HOWSQ,286922
UCqYw-CTd1dU2yGI71sEyqNw,225053
UCJi8M0hRKjz8SLPvJKEVTOg,148237
UCQlGBspQdj17WOPBQMT1k9A,138634
UCupvZG-5ko_eiXAupbDfxWw,137962
UCJmSX7ghommK3pwMLGNUvPA,129425
UCKy1dAqELo0zrOtPkf0eTMw,123114
UCfkpM3RuyUHqY4nRlP-egNA,119117
UCmyKnNRH0wH-r8I-ceP-dsg,113891
UCAR3h_9fLV82N2FH4cE4RKw,109776
UC52X5wxOL_s5yw0dQk7NtgA,109410
UCttspZesZIDEwwpVIgoZtWQ,105714
UCsT0YIqwnpJCM-mx7-gSA4Q,97576
UCVbsFo8aCgvIRIO9RYwsQMA,90351
UCumtYpCY26F6Jr3satUgMvA,88035
UCFLM-M7PthQgxyulzSSVYrA,86732
UCGp4u0WHLsK8OAxnvwiTyhA,82134
UCKVsdeoHExltrWMuK0hOWmg,81399
UCKV0PostOmPjnXEbDgDYSFg,81149
UCixvwLpO_pk4uVOkkkqP3Mw,74205
