channelId,subscriberCount
UC-lHJZR3Gqxm24_Vd_AJ5Yw,56870070
UCHkj014U2CQ2Nv0UZeYpE_A,30834193
UCBR8-60-B28hp2BmDPdntcQ,25593575
UCXazgXDIYyWH-yXLAkcrFxw,25332795
UC-8Q-hLdECwQmaWNwXitYDw,23859754
UCV4xOVpbcV8SdueDCOxLXtQ,23186987
UC20vb-R_px4CguHzzBPhoyQ,22969323
UCq-Fj5jknLsUf-MWSy4_brA,22945812
UCANLZYMidaCbLQFWXBC95Jg,22834903
UCY30JRSgfhYXA6i6xX1erWg,22754883
UC3KQ5GWANYF8lChqjZpXsQw,22229399
UCRijo3ddMTht_IHyNSNXpNQ,21421510
UCYiGq8XF7YQD00x7wAd62Zg,21021501
UCp0hYYBW6IMayGgR-WeoCvQ,20395944
UC0C-w0YjGpqDXGB8IHb662A,19992420
UC7_YxT-KID8kRbqZo7MyscQ,18190613
UCpDJl2EmP7Oh90Vylx0dZtA,18105980
UC9gFih9rw0zNCK3ZtoKQQyA,17513194
UCJ5v_MCY6GNUBTO8-D3XoAg,17298523
UCffDXn7ycAzwL2LDlbyWOTw,17176530
UCYzPXprvl5Y-Sf0g4vX-m6g,16362667
