videoId,views/subscribers
c22Ap0ZwGaE,46234.0
SFhKMEU_LJw,28808.3
H7Y-sNCr8sY,28808.3
GC5NBGx00H4,21141.061224489797
EUXnJraKM3k,14628.577464788732
aFQFB5YpDZE,9879.329842931937
y6VerKdcrOQ,8779.987012987012
P6vm0x8JpBU,8015.031914893617
EC0Xfv433n8,7626.951219512195
KGR5HP3KSBk,6687.169934640523
NENeYSdYNTI,6481.777777777777
2L2ImR0iWUk,6322.759090909091
SrhSK_cUFYk,6204.0
K2GPBBxFpEw,5748.666666666667
OR4jPtrDCLo,5660.767295597484
gedQImcplz8,5502.14705882353
jftzOTnB30I,5459.696666666667
3nbjhpcZ9_g,5227.376919004764
fTqxFIpc1j4,4961.555555555556
BovQyphS8kA,4960.847696879643
2wAvxQfusWU,4940.668375094912
